Date,Type,Link
1/10/2022,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6884893718546006016
12/13/2021,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6876149899797295104
12/2/2021,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6872271244729880577
12/2/2021,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6871487870901747712
11/28/2021,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6870154230565478400
11/25/2021,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6869547495228243968
11/19/2021,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6867497682223554560
11/18/2021,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6866898084111138816
11/18/2021,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6864253953060683776
11/17/2021,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6866589589105065984
11/12/2021,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6864629037319385088
11/11/2021,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6861323916074340352
11/11/2021,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6862418262328672256
11/11/2021,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6864430662162661376
1/3/2021,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6750453282411565056
12/30/2020,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6746542742165352448
11/27/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6730236710451453952
11/17/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6733954564254416896
11/14/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6733418789280460800
10/22/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6723915312619646976
10/17/2020,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6723249302468079616
