HashTag,CreatedTime,LastModifiedTime,State
artificialintelligence,2020-01-31 03:31:07,2020-01-31 03:31:07,Follow
motivation,2019-02-18 16:29:57,2020-01-31 03:31:05,Unfollow
mobiletechnology,2019-02-18 16:29:54,2020-01-31 03:31:04,Unfollow
ios,2019-02-18 16:29:47,2020-01-31 03:30:57,Unfollow
money,2019-02-18 16:29:40,2020-01-31 03:30:59,Unfollow
jobinterviews,2019-02-18 16:29:27,2019-02-18 16:29:27,Follow
careers,2019-02-18 16:29:22,2019-02-18 16:29:22,Follow
